keyword,gram,,,,,
자연,"꽃스타그램🌺🌷🌸💐, 풍경사진그램, 하늘그램, 휴식스타그램, 귀농스타그램, 등산스타그램🌲🌳🌿, 날씨좋다그램, 한강스타그램, 일몰스타그램, 단풍스타그램, 산스타그램🌳🌲🌿, 계곡스타그램, 다육이그램, 날씨그램, 꽃스타그램💐, 일출스타그램, 공원스타그램, 섬스타그램, 정원스타그램, 식물스타그램🌿",,,,,
식물,"꽃스타그램🌺🌷🌸💐, 식물그램, 다육이그램, 꽃스타그램💐, 정원스타그램, 식물스타그램🌿",,,,,
꽃,"꽃스타그램🌺🌷🌸💐, 부케스타그램, 다육이그램, 꽃스타그램💐, 정원스타그램, 식물스타그램🌿",,,,,
엔터테인먼트,"뮤지컬스타그램, 연극스타그램, 콘서트그램, 예능프로그램, 작곡스타그램, 아역스타그램, 드라마그램, 뮤지컬그램, 아이돌스타그램, 밴드스타그램, 드라마패션그램, 예능스타그램, 뮤비스타그램",,,,,
연예인,"연예인스타그램, 연예인그램, 강다니엘스타그램, 아이돌스타그램, 무비스타그램🎬, 뮤비스타그램, gdragon인스타그램업데이트, 강다니엘인스타그램",,,,,
음악,"음악추천그램, 콘서트그램, 연주스타그램, 작곡스타그램, 노래추천스타그램, 보컬스타그램, 음스타그램🎶, 힙합스타그램, 노래방스타그램, 밴드스타그램, 음악그램, 커버스타그램, 음악스타그램🎧",,,,,
영화,"영화스타그램🎬, 물놀이그램, 무비스타그램🎬, 혼영스타그램, 영화추천그램",,,,,
예술,"뮤지컬스타그램, 연극스타그램, 웹툰그램, 아트그램, 로고스타그램, 예술스타그램, 건축스타그램, 손그림스타그램, 무용스타그램, 뮤지컬그램, 만화그램, 팬아트그램, 웹툰스타그램, 소묘스타그램, 공예스타그램, 그림스타그램맞팔, 캘리그라피그램,",,,,,
교육,"공부그램, 교육스타그램, 예비고2공스타그램, 그림책스타그램, 토익스타그램, 공스타그램좋반, 03년생공스타그램, 선생님스타그램, 04년생공스타그램, 학원스타그램, 고등학생공스타그램, 05년생공스타그램, 강의스타그램, 역사스타그램, 공스타그램만맞팔, 02년생공스타그램, 아동미술프로그램, 교육프로그램, 중국어스타그램, 도자기스타그램, 어린이집스타그램, 시험스타그램, 수업스타그램",,,,,
강의,"공부그램, 예비고2공스타그램, 토익스타그램, 공스타그램좋반, 03년생공스타그램, 선생님스타그램, 04년생공스타그램, 학원스타그램, 고등학생공스타그램, 05년생공스타그램, 강의스타그램, 공스타그램만맞팔, 02년생공스타그램, 중국어스타그램, 수업스타그램",,,,,
공부,"공부그램, 공부벗스타그램, 필기스타그램, 예비고2공스타그램, 토익스타그램, 간호학과공스타그램, 공스타그램좋반, 03년생공스타그램, 공시스타그램, 재수스타그램, 04년생공스타그램, 공부스타그램📖✏, 학원스타그램, 고등학생공스타그램, 05년생공스타그램, 취준스타그램, 취업스타그램, 공스타그램만맞팔, 02년생공스타그램, 시험스타그램,",,,,,
도서,"북그램, 독서스타그램📚, 북스타그램📖, 책육아스타그램, 책스타그램📖, 도서스타그램, 서점스타그램",,,,,
학생,"대학생그램, 예비고2공스타그램, 공스타그램좋반, 대학생스타그램, 03년생공스타그램, 04년생공스타그램, 고등학생공스타그램, 유학생그램, 대학스타그램, 05년생공스타그램, 대딩스타그램, 졸업스타그램, 공스타그램만맞팔, 02년생공스타그램, 여고생스타그램",,,,,
친구,"공부벗스타그램, 친구스타그램👭, 추억팔이그램, 절친그램, 베프스타그램, 청춘스타그램, 우정스타그램👭, 동기스타그램, 우정스타그램💕,",,,,,
직장,"영양사스타그램, 치과스타그램, 알바스타그램, 직장맘스타그램, 직장맘그램, 선생님스타그램, 요리사그램, 창업스타그램, 미용사그램, 건축스타그램, 동기스타그램, 여주출장그램, 바쁘다그램, 작업스타그램, 취준스타그램, 승무원스타그램, 직장그램, 알바그램, 취업스타그램, 회사원스타그램, 간호사스타그램, 의사스타그램, 치과그램, 사무실그램, 회사그램",,,,,
직업,"영양사스타그램, 치과스타그램, 알바스타그램, 간호학과공스타그램, 선생님스타그램, 요리사그램, 창업스타그램, 미용사그램, 건축스타그램, 작업스타그램, 승무원스타그램, 알바그램, 간호사스타그램, 의사스타그램, 치과그램, 널스타그램💉, 시인스타그램, 승무원그램",,,,,
인물 (캐릭터),"훈녀그램, 인물스타그램, 줌마그램👩, 강다니엘스타그램, 여자그램, 아저씨그램, 라이언그램, 줌마스타그램💁, 유부녀스타그램, gdragon인스타그램업데이트, 강다니엘인스타그램",,,,,
취미,"뜨개그램, 바이크그램, 볼링스타그램🎳, 자수스타그램, 건프라그램, 코바늘그램, 아트그램, 자덕그램, 키덜트스타그램, 바느질그램, 볼링그램, 작업스타그램, 배스타그램, 손뜨개그램, 웹툰스타그램, 만들기스타그램, 오토바이스타그램, 당구스타그램, 공예스타그램, 내맘대로그램, 그림스타그램맞팔, 인형그램, 낚시타그램, 소풍스타그램, 승마스타그램, 도자기스타그램, 덕질그램",,,,,
악세사리,"선글라스그램, 악세사리스타그램, 피어싱스타그램, 주얼리스타그램, 반지그램, 예물스타그램, 목걸이스타그램, 모자그램, 쥬얼리스타그램, 생로랑모노그램, 커플링스타그램, 선글라스타그램, 목걸이그램, 팔찌그램, 지름스타그램",,,,,
여행,"산행스타그램, 여행스타그램jeju, 비행스타그램, 추억팔이그램, 떠나자그램, 서핑스타그램, 연휴그램, 제주여행스타그램, 가족여행그램, 괌스타그램, 호캉스그램, 스키스타그램, 공항스타그램, 여행스타그램🚗, 여행스타그램💕, 또가고싶다그램, 역사스타그램, 여행가고싶다그램, 단풍스타그램, 계곡스타그램, 트래블그램, 신행스타그램, 가고싶다그램, 승무원그램, 다이빙스타그램, 휴가스타그램🌴, 섬스타그램, 스노우보드그램, 여행자그램",,,,,
테크,,,,,,
디지털,"웹툰그램, 배그스타그램, 웹툰스타그램, 롤스타그램, 인스타툰그램, 영상그램, 카메라스타그램, 카메라그램",,,,,
콘텐츠,,,,,,
컬쳐,문화스타그램,,,,,
오피셜,,,,,,
지역,"여행스타그램jeju, 전주맘스타그램, 김포맘그램, 제주여행스타그램, 인천맘스타그램, 일산맘스타그램, 춘천맘스타그램, 김해맘그램, 창원맘스타그램, 송도맘스타그램, 동네스타그램, 부산맘그램, 제주일상스타그램, 여주출장그램, 대전맘스타그램, 동래맛집인스타그램, 춘천스타그램, 파주맘스타그램, 제주맘스타그램, 아산맘그램, 제주도민그램",,,,,
재테크,"부동산스타그램, 주식프로그램, 투자스타그램",,,,,
금융,"부동산스타그램, 주식프로그램, 투자스타그램",,,,,
게임,"배그스타그램, 롤스타그램, 게임그램, 실버스타그램, 동숲타그램",,,,,
체험,"대외활동스타그램, 봉사스타그램, 체험프로그램",,,,,
광고,"홍보스타그램, 방송스타그램, 리그램이벤트진행중",,,,,
개그,,,,,,
연애,"러브그램, 꽃신스타그램, 달달스타그램, 커플스타그램💑, 럽스터그램, 애인스타그램, 연애그램, 데이트그램💕, 사랑한다그램💕, 커플링스타그램, 부부스타그램💏, 럽스타그램😍, 신행스타그램, 곰신그램, 사랑해그램❤️, 애정스타그램, 부부그램💑, 럽스타그램❣️, 신혼부부그램💑, 결혼그램, 예비부부스타그램",,,,,
자동차,"중고차그램, 휴식그램, 카스타그램🚘, 차쟁이그램,  드라이브그램, 운전스타그램, 세차그램, 차그램, 슈퍼카그램, 중고차스타그램",,,,,
선물,"주얼리스타그램, 반지그램, 커플링스타그램, 예물스타그램, 목걸이스타그램, 쥬얼리스타그램, 목걸이그램, 팔찌그램",,,,,
사진,"인증샷그램, 인물스타그램, 풍경사진그램, 스냅스타그램, 필름스타그램, 사진스타그램📸, 전신그램, 감성사진그램, 비디오그램, 일몰스타그램, 카메라스타그램, 일출스타그램, 카메라그램",,,,,
감성,"자작시그램, 인생스타그램, 씀스타그램, 에세이그램, 잠옷스타그램, 글쟁이그램, 명언그램, 감성글귀스타그램, 새벽그램, 우울스타그램, 이별스타그램, 감성사진그램, 갬성그램, 글귀스타그램🌙, 작가그램, 공감글그램, 글그램어플, 분위기스타그램, 위로스타그램, 나홀로그램, 감성글스타그램, 캘리그라피그램, 분위기그램, 시인스타그램, 자작글그램, 위로글귀그램, 자작시스타그램",,,,,
기분,"멋있다그램, 심심하다그램, 행복스타그램💕, 부럽다그램, 이쁘다그램🌸, 피곤스타그램, 감사합니다그램, 아쉽다그램, 러블리그램, 행복해그램, 졸리다그램, 재미스타그램, 시원하다그램, 우울스타그램, 갖고싶다그램, 날씨좋다그램, 귀여워서그램, 예쁘다그램💕, 화이팅그램, 땡큐스타그램, 사랑한다그램💕, 잘생겼다그램, 행복하다그램💕, 축하스타그램, 바쁘다그램, 웃음스타그램, 스트레스그램, 귀욤스타그램, 기분좋다그램, 즐기자그램, 나혼자그램, 어렵다그램, 심심스타그램, 사랑해그램❤️, 고맙다그램💕, 즐겁다그램🎶, 심심그램, 재미있다그램, 감동그램, 그냥그램, 신나그램, 가고싶다그램, 잠온다그램, 쉬고싶다그램, 와우스타그램, 귀엽다그램💕, 이쁜척그램, 열정스타그램, 피곤하다그램😴, 재미지다그램, 미안하다그램",,,,,
셀카,"인증샷그램, 잠옷스타그램, 얼굴그램, 일요일그램, 셀스터그램, 셀스타그램2, 생얼스타그램, 얼스터그램, 얼스타그램selfie, 뷰티타그램, 셀피그램💕, 셀피스타그램셀피, 민낯스타그램, 셀카스타그램📷, 거울셀카그램, 얼스타그램2, 셀가그램",,,,,
여가,"바이크그램, 연휴그램, 드라이브그램, 호캉스그램, 물놀이그램, 배스타그램, 오토바이스타그램, 휴무그램, 계곡스타그램, 낚시타그램, 소풍스타그램, 휴가스타그램🌴",,,,,
기록,"후기스타그램, 필기스타그램, 손글씨스타그램, 글쓰기그램, 자작시그램, 씀스타그램, 에세이그램, 글쟁이그램, 명언그램, 감성글귀스타그램, 낙서타그램, 우울스타그램, 이별스타그램, 글귀스타그램🌙, 작가그램, 공감글그램, 글그램어플, 편지스타그램, 인스타툰그램, 기록그램, 감성글스타그램, 캘리그라피그램, 시인스타그램, 자작글그램, 낙서그램, 위로글귀그램, 자작시스타그램, 식단일기그램",,,,,
종교,"묵상스타그램, 주일스타그램, 찬양스타그램, 기독교스타그램",,,,,
팬시완구/소모품,"다이어리스타그램, 문덕스타그램, 건프라그램, 펜스타그램, 스꾸스타그램, 전자담배그램, 키덜트스타그램, 인형그램, 슬라임스타그램, 꾸미기그램, 간판스타그램",,,,,
기타,"팔로우스타그램, 인스타그램팔로워늘리기, 인스타그램체험단, 선팔그램, 자랑그램, 관종스타그램, 주스타그램, 인스타그램초보, 인스타그램시작, 인스타그램팔로워, 부업그램, 댓글스타그램, 팔로워프로그램, 펜스타그램, 소설스타그램, 소통그램🙌, 정보스타그램, 인스타그램📷, 소통프로그램, 고맙습니다그램, 소통스타그램💓, 리그램이벤트진행중, 리그램해주세요, 인증스타그램, 좋아요그램👍, 인스타그램좋아요늘리기, 줌스타그램좋아요, 리그램하면돈주는마이클라이언트, 첫인스타그램, 스타그램중독, 리그램부업, 인스타그램그램, 소통스타그램🙋, 리스타그램, 인스타초보그램, 인스타그램중독인가봉가",,,,,
